steps	episodes	elapsed	mean	median	stdev	max	min	length_mean	length_median	length_stdev	length_max	length_min	intero_error_mean	blue_eaten	red_eaten	average_value	average_entropy	average_value_loss	average_policy_loss	average_kl_loss	n_updates	explained_variance
63000000	831	155365.4497230053	-54.32970134793989	-17.87090869494928	77.2264832246481	-16.453526351485912	-202.16254203893115	49146.2	60000.0	22881.9093259282	60000.0	5595.0	0.18881961955293783	14.8	17.6	-0.036750883	-6.696041	0.0008838856255169958	-0.010869911738991505	0.008708529290743172	37800	0.8675318301857082
66000000	831	160819.3677918911	-17.53215999757377	-17.74453735098642	1.532603309964777	-14.546041235556935	-19.890430820626303	60000.0	60000.0	0.0	60000.0	60000.0	0.038501017521637974	0.0	0.0	-0.047122013	-6.790854	0.0009186711098300293	-0.00974530091683846	0.009427457638084889	39600	0.8617606122018112
69000000	831	166253.79088282585	-53.76546446504188	-17.81438156942746	76.12530228553227	-16.544661654165104	-204.59778930015796	49265.9	60000.0	22632.36938767128	60000.0	5561.0	0.17999790917232522	16.4	15.7	-0.035545312	-6.8801417	0.0006772449502022937	-0.010450033701490611	0.007601128024980426	41400	0.877069359074993
72000000	833	171682.14740633965	-17.364427462133445	-17.273260144522148	0.9395601577198911	-15.69059686497336	-18.936948737641973	60000.0	60000.0	0.0	60000.0	60000.0	0.03786248556698832	0.0	0.0	-0.033741165	-7.1615405	0.0007873733009910211	-0.009705309190321714	0.009392944294959307	43200	0.86266468324192
75000000	833	177135.32876992226	-35.00221700967397	-16.602193490086798	58.985630880041995	-13.948023143322775	-202.8489702682339	54622.9	60000.0	17003.883206491395	60000.0	6229.0	0.11109548053563809	9.0	7.0	-0.0058276136	-7.043452	0.000808483575237915	-0.009188466179475654	0.00959358868189156	45000	0.8667714197917824
78000000	834	182649.82369422913	-34.04611563284876	-16.19695791861718	57.95676500845198	-13.274352220472133	-198.95201112205342	54577.7	60000.0	17146.818156731002	60000.0	5777.0	0.11154586003781657	9.2	7.2	-0.047888663	-7.1807227	0.0007833282649517059	-0.006950033927423647	0.0066037439741194245	46800	0.9956772452574429
81000000	834	188174.80370020866	-15.996594382965899	-16.253324498522154	1.1752056420478603	-13.679132697504416	-17.933120719806592	60000.0	60000.0	0.0	60000.0	60000.0	0.0380233666613782	0.0	0.0	-0.035168435	-7.2520175	0.0010068256338126957	-0.009877516743727029	0.009092991575598716	48600	0.8430728872447462
84000000	834	193651.59585690498	-33.837469442570914	-16.072769300272135	56.41643259650138	-14.241553739278213	-194.36930080388436	54558.7	60000.0	17206.9014322742	60000.0	5587.0	0.11227016974071555	8.4	6.0	-0.036352728	-7.296979	0.0002886296267388389	-0.009939579532947392	0.00915532578714192	50400	0.9262925663003713
87000000	834	199027.67311763763	-50.00273583701242	-16.24546789306735	72.05101770790152	-14.61868299704006	-203.3859866364773	49130.5	60000.0	22914.920055864623	60000.0	5632.0	0.18062993473773115	17.0	15.3	-0.008210985	-7.3518825	0.0006027707041357644	-0.009189404700882732	0.007178438059054315	52200	0.8773205225922366
90000000	834	204264.76600527763	-34.289035701298864	-16.354445790348475	57.39650404285952	-14.81841166168801	-197.6325921231222	54599.7	60000.0	17077.248048207297	60000.0	5997.0	0.11019571990993571	7.6	8.5	-0.03359937	-7.3696475	0.0007758675268269144	-0.008125388899061363	0.008743491433560848	54000	0.8739945582970282
